公司	年	月	日	季底普通股市值	ROE(A)－稅後	營業毛利率	稅後淨利成長率	自由現金流量(D)	ROE標準差(Rolling三年)	流動比率	負債比率	利息保障倍數	現金股利率	CAPM_Beta 一年	收盤價(元)_年	近一年報酬率 %	下一年成長
1101 台泥	2007	12	31	146188665	12.37	20.08	29.13	1951618		189.76	46.39	6.36	4.22	1.2456	17.12	61.2098	-36.6889
1101 台泥	2008	12	31	88724116	6.7	9.9	-41.97	21032054		111.71	51.7	3.6	4.9	1.1439	10.87	-36.6889	30.7854
1101 台泥	2009	12	31	111933950	12.23	17.9	80.76	11473209	3.233919191	106.89	50.61	6.49	5.29	1.191	14.21	30.7854	4.0328
1101 台泥	2010	12	31	121103340	11.87	18.36	14.48	-8836132	3.09406421	136.39	52.47	7.24	6.1	1.0385	14.85	4.0328	11.3509
1101 台泥	2011	12	30	129226125	10.82	17.36	2.48	16115960	0.732598116	127.33	50.62	7.53	5.43	1.2282	16.53	11.3509	17.5869
1101 台泥	2012	12	28	143625608	7.38	15.61	-27.17	14014675	2.34862371	120.22	48.24	5.45	4.88	0.7816	19.41	17.5869	25.033
1101 台泥	2013	12	31	170763094	10.24	19.66	51.21	15642459	1.841629713	124.7	45.66	10.74	4.97	1.1088	24.28	25.033	-1.2228
1101 台泥	2014	12	31	160240395	10.51	21.02	9.69	8975377	1.734425938	140.76	44.66	12.12	5.74	0.9384	23.97	-1.2228	-32.9034
1101 台泥	2015	12	31	100796378	4.36	15.51	-58.24	17082036	3.475384871	133.06	46.95	5.62	4.87	0.9003	16.11	-32.9034	33.7756
1101 台泥	2016	12	30	129779951	5.84	20.08	27.67	12567159	3.20992731	141.34	44.79	7.01	4.13	1.2063	21.56	33.7756	11.0518
1101 台泥	2017	12	29	154785253	6.88	19.24	16.75	10515704	1.266385934	142.22	43.99	8.19	4.11	0.4935	23.3	11.0518	11.8189
1101 台泥	2018	12	28	181846900	12.94	26.96	119.36	6492976	3.834388261	171.12	42.64	13.41	9.27	0.9655	25.89	11.8189	42.2499
1101 台泥	2019	12	31	238847550	12.54	29.25	12.41	18856664	3.389178858	177.58	43.27	15.84	5.71	0.4729	36.78	42.2499	9.8274
1101 台泥	2020	12	31	251002973	13.1	32.87	9.96	25091819	0.288444102	172.4	43.82	18.8	8.2	0.8332	40.35	9.8274	
1102 亞泥	2007	12	31	129624306	14.6	16.52	40.57	8605806		161.3	40.47	9.05	5.06	1.3829	18.6	70.8833	-32.1659
1102 亞泥	2008	12	31	82470063	9.74	14.19	-25.98	-6512039		165.5	46.47	5.67	6.33	1.1002	12.61	-32.1659	31.6856
1102 亞泥	2009	12	31	103306431	10.84	16.7	19.84	4031039	2.54843743	140.57	46.21	7.83	5.2	1.039	16.63	31.6856	1.4779
1102 亞泥	2010	12	31	99178651	9.3	11.68	-6.71	7274510	0.793221281	130.62	45.98	7.2	5.89	0.9838	16.89	1.4779	13.1141
1102 亞泥	2011	12	30	106651642	12.63	16.49	46.62	-2573812	1.66656333	193.33	47.13	9.04	6.76	1.2179	19.07	13.1141	21.7586
1102 亞泥	2012	12	28	120674787	4.73	9.63	-52.3	23189181	3.966186245	119.04	38.86	4.79	4.55	0.6501	22.93	21.7586	10.2271
1102 亞泥	2013	12	31	127207690	8.18	12.89	108.21	12973966	3.960534476	105.46	41.75	9.59	4.66	0.6868	25.31	10.2271	7.4234
1102 亞泥	2014	12	31	131096433	6.93	14.33	-10.34	10492955	1.746663486	108.57	42.82	9.23	5.64	0.7215	27.2	7.4234	-25.0025
1102 亞泥	2015	12	31	92103648	3.12	10.65	-54.75	25046419	2.635722545	81.02	42.66	5.14	4.01	0.7702	20.4	-25.0025	-0.1004
1102 亞泥	2016	12	30	88574128	3.17	14.09	-5.09	-4793932	2.185413767	103.16	41.01	4.95	3.42	1.0985	20.36	-0.1004	11.2356
1102 亞泥	2017	12	29	94792805	4.65	14.59	42.33	15662311	0.869271726	93.17	40.99	5.8	4.26	0.5731	22.53	11.2356	25.8419
1102 亞泥	2018	12	28	114121126	9.77	24.71	123.38	-5705888	3.463254731	127.95	43.03	13.17	8.25	1.0241	27.85	25.8419	50.4558
1102 亞泥	2019	12	31	161181384	13.54	26.95	49.4	27257010	4.462051098	120.05	43	16.6	6.26	0.522	41.84	50.4558	-3.4558
1102 亞泥	2020	12	31	145214510	11.07	29.18	-15.6	9337891	1.915019582	135.92	42.82	21.75	8.22	0.7646	40.31	-3.4558	
1103 嘉泥	2007	12	31	14551639	6.34	20.67	-64.28	837296		319.37	37.48	5.63	0	1.1374	12.32	0.9342	-35.0571
1103 嘉泥	2008	12	31	9254333	1.34	16.98	-79.26	698215		283.11	39.44	2.93	0	1.1887	8	-35.0571	41.9615
1103 嘉泥	2009	12	31	12993574	2.13	10.83	59.29	-1540185	2.687880206	400.4	36.63	4.57	1.1	1.2081	11.36	41.9615	-1.7919
1103 嘉泥	2010	12	31	12594442	2.41	10.83	13.68	-392282	0.554887376	418.96	39.56	3.82	1.74	1.1253	11.16	-1.7919	-27.9501
1103 嘉泥	2011	12	30	8937294	1.76	19.04	-28.77	1264797	0.326036808	294.74	40.41	3.97	1.69	0.9672	8.05	-27.9501	20.6221
1103 嘉泥	2012	12	28	10759068	-3.33	6.31	-280.47	-1865963	3.143199007	427.5	43.89	-1.79	0	0.704	9.83	20.6221	13.3579
1103 嘉泥	2013	12	31	12196200	6.8	5.5	324.29	719211	5.065020566	412.74	35.58	8.81	6.37	0.5647	11.14	13.3579	-3.9232
1103 嘉泥	2014	12	31	10992116	0.26	5.57	-95.83	997759	5.13609125	382.56	42.73	1.05	2.12	0.4221	10.71	-3.9232	-30.7198
1103 嘉泥	2015	12	31	7375906	1.28	-3.81	296.6	813911	3.518579259	699.93	48.7	1.86	1.05	0.613	7.42	-30.7198	-7.2681
1103 嘉泥	2016	12	30	6763829	0.07	3.04	-95.4	1809597	0.650717553	476.59	39.48	1.41	2.29	0.4671	6.88	-7.2681	55.7135
1103 嘉泥	2017	12	29	10343313	5.57	13.47	9866.44	1888642	2.890161472	393.01	31.98	11.71	3.75	0.5443	10.72	55.7135	10.7039
1103 嘉泥	2018	12	28	10537008	1.27	13.79	-21.3	-745343	2.89194283	348.97	34.6	5.93	7.32	0.8736	11.29	10.7039	74.9411
1103 嘉泥	2019	12	31	17316333	3.67	10.54	83.15	-339927	2.154839515	288.01	38.85	8.85	4.46	0.3103	19.76	74.9411	-9.7418
1103 嘉泥	2020	12	31	14759559	7.54	-6.98	30.48	-67742	3.163589733	385.43	38.45	13.87	7.31	0.8373	17.84	-9.7418	
1104 環泥	2007	12	31	7017445	3.63	8.45	-37.9	172228		159.41	36.71	4.01	0	0.8807	6.11	3.0224	9.7208
1104 環泥	2008	12	31	7699610	0.43	5.01	-87.6	782839		106.12	40.8	1.43	0	0.7961	6.7	9.7208	37.2545
1104 環泥	2009	12	31	10568093	5.55	7.11	1202.98	-790236	2.586529206	183.27	37.57	10.11	2.86	1.0783	9.2	37.2545	9.5168
1104 環泥	2010	12	31	11171984	10.16	8.03	77.88	-392051	4.867227137	283.04	26.86	39.29	5.41	0.8662	10.08	9.5168	-24.1794
1104 環泥	2011	12	30	8031750	3.06	7.41	-67.7	2295345	3.602364964	186.61	16.84	27.64	4.51	0.7944	7.66	-24.1794	25.0665
1104 環泥	2012	12	28	9662256	5.33	6.85	76.92	705240	3.626104429	187.01	16.75	281.09	4.69	0.6915	9.66	25.0665	84.5398
1104 環泥	2013	12	31	17059921	8.06	8.91	59.71	1042178	2.503524183	154.73	18.08	169.33	3.19	0.6908	17.84	84.5398	-3.9056
1104 環泥	2014	12	31	15892000	9.13	9.35	23.72	1647346	1.959498235	128.23	18.49	145.75	3.88	0.5479	17.16	-3.9056	-7.5582
1104 環泥	2015	12	31	14136503	8.7	10.41	-0.1	923109	0.538423625	123.51	19.88	101.84	4.44	0.5847	15.88	-7.5582	15.9179
1104 環泥	2016	12	30	15642200	10.39	13.9	21.72	894733	0.878312776	141.86	19.42	107.29	4.87	0.5702	18.41	15.9179	1.3184
1104 環泥	2017	12	29	15000327	8.28	12.21	-17.46	1099765	1.116885551	141.47	19.19	81.15	4.79	0.2982	18.55	1.3184	-12.535
1104 環泥	2018	12	28	12353210	6.01	11.94	-24.32	1361118	2.190487008	118.14	21.03	52.87	5.29	0.3537	16.15	-12.535	9.1331
1104 環泥	2019	12	31	12810736	6.35	11.72	8.57	1216596	1.224295716	111.36	22.64	37.43	5.1	0.2647	17.63	9.1331	25.0925
1104 環泥	2020	12	31	15163729	6.83	16.72	10.35	1067217	0.411987055	115.71	22.06	42.32	4.74	0.6881	22.07	25.0925	
1107 建台	2007	12	31	417667		23.22	-38.1	-42023		13.44	104.04	-0.62	0	0.3747	1.33	-50.7409	-42.1053
1107 建台	2008	12	31	241807		12.8	-23.82	-142473		12.73	111.07	-0.91	0	0.532	0.77	-42.1053	20.7793
1107 建台	2009	12	31	292053		13.28	27.7	-11200		11.62	116.5	-1.19	0	0.5178	0.93	20.7793	78.4944
1107 建台	2010	12	31	521298		4.23	-8.56	-20626		9.71	122.89	-1.35	0	0.717	1.66	78.4944	-4.2169
1107 建台	2011	12	30	499316		6.61	-10.41	-133296		9.04	127.78	-1.45	0	0.3264	1.59	-4.2169	
1107 建台	2012	12	28			0.7	48.71	11240		9.08	134.5	-0.24			0.7		
1107 建台	2013	12	31			13.09	-64.26	-21963		8.55	141.1	-1.05					
1107 建台	2014	12	31		-46.48	12.87	-8.39	-3098743		7.22	86.54	0.54					
1107 建台	2015	12	31		-72.29	88.38	-13.32	-256253		6.9	93.92	1.42					
1107 建台	2016	12	30		-137.32	-12.26	27.94	200349	46.80983266	4.72	98.87	-1.03					
1108 幸福	2007	12	31	3577884	2.89	10.57	-52.05	-364368		153.71	55.96	2.54	2.83	0.9762	5.99	-10.097	-29.261
1108 幸福	2008	12	31	2428428	-0.84	9.66	-128.19	-364826		150.35	57.54	0.83	0	1.1048	4.22	-29.261	49.1675
1108 幸福	2009	12	31	3622405	2.3	14.58	373.39	184233	2.005018703	154.64	53.47	2.79	1.9	0.985	6.3	49.1675	-9.5135
1108 幸福	2010	12	31	3205525	-4.39	3.93	-288.95	-281970	3.347093266	179.26	54.51	-1.52	0	0.8899	5.7	-9.5135	-32.9547
1108 幸福	2011	12	30	2149159	-3.44	4.19	23.82	-380889	3.619534961	203.94	54.44	-0.98	0	0.7118	3.82	-32.9547	23.4751
1108 幸福	2012	12	28	2703650	4.32	8.36	227.09	153167	4.778148177	229.35	51.91	3.63	0	0.5635	4.81	23.4751	25.5997
1108 幸福	2013	12	31	3395752	3.78	11.14	-9.49	172819	4.332774323	250.11	48.7	4.05	5.36	0.4213	6.04	25.5997	29.1155
1108 幸福	2014	12	31	4168801	8.92	14.55	125.45	687411	2.824629769	238.3	44.82	9.41	5.83	0.62	7.8	29.1155	3.7706
1108 幸福	2015	12	31	4087854	10.64	18.05	26.07	461010	3.569257626	285.67	38.32	15.46	8.42	0.5686	8.1	3.7706	-1.6409
1108 幸福	2016	12	30	3691211	6.72	15.58	-31.91	1211516	1.964891855	205.8	38.06	13.85	6.58	0.2278	7.96	-1.6409	-2.0165
1108 幸福	2017	12	29	3387657	-2.22	3.74	-132.72	-303059	6.591277064	266.01	38.81	-2.87	0	0.3717	7.8	-2.0165	-12.2007
1108 幸福	2018	12	28	2970777	-4.64	1.4	-95.59	-427716	5.983722364	284.47	42.04	-4.91	0	0.4296	6.84	-12.2007	14.1683
1108 幸福	2019	12	31	3391704	1.07	8.01	122.77	6538	2.866025122	314.58	41.04	2.36	1.79	0.0399	7.81	14.1683	53.7064
1108 幸福	2020	12	31	5140173	8.74	15.82	754.54	306777	6.713883625	244.47	41.99	14.91	5.51	0.8492	12	53.7064	
1109 信大	2007	12	31	4655616	4.06	20.4	-60.84	240053		859.48	10.97	1402.42	4.61	0.7715	6.8	-12.8288	-22.626
1109 信大	2008	12	31	3437003	2.76	13.28	-31.42	-47918		1102.8	9.75	4801.79	2.45	0.834	5.27	-22.626	33.8896
1109 信大	2009	12	31	4420500	1.74	18.42	-34.31	-770960	1.162812682	913.45	9.74	9514.21	3.33	0.579	7.05	33.8896	1.1749
1109 信大	2010	12	31	4315250	-0.09	7.79	-105.45	-688282	1.444056786	943.92	18.87	-1.54	2.73	0.6343	7.14	1.1749	5.5345
1109 信大	2011	12	30	4441550	1.27	12.95	1443.64	-296940	0.950385887	383.69	27.78	8.45	3.32	0.5485	7.53	5.5345	4.876
1109 信大	2012	12	28	4483650	0.81	10.93	-34.98	261186	0.691761038	250.31	28.36	2.9	3.57	0.4679	7.86	4.876	16.2868
1109 信大	2013	12	31	5030950	4.61	17.69	478.34	424948	2.073933461	238.48	26.88	10.78	10.04	0.2901	9.15	16.2868	21.156
1109 信大	2014	12	31	5620350	4.76	18.88	4.36	1309886	2.238489074	150.36	24.25	12.14	1.5	0.4537	11.07	21.156	-23.6609
1109 信大	2015	12	31	3807945	-0.86	10.1	-117.05	-494227	3.202285642	251.92	26.03	1.44	1.99	0.3273	8.43	-23.6609	1.4826
1109 信大	2016	12	30	3789000	2.79	15.19	409.49	200446	2.851543442	224.69	26.78	7.97	1	0.2492	8.56	1.4826	30.9839
1109 信大	2017	12	29	4715411	10.82	23.36	299.62	378237	5.975307523	308.5	20.77	30.62	0.76	0.4502	11.21	30.9839	4.4341
8467 波力-KY	2018	12	28	1891992	9.05	25.37	161.32	172947	2.823242816	165.31	28.65	14.67	6.55	-0.0023	33.29	21.7973	89.5072
1109 信大	2019	12	31	6873336	17.87	33.29	16.36	743844	3.918677498	251.83	22.89	113.98	5.47	0.3324	17.76	51.9167	5.9416
1109 信大	2020	12	31	6839140	15.95	34.37	-0.67	638251	0.987387124	303.94	19.22	981.76	7.5	0.8113	18.81	5.9416	
1110 東泥	2007	12	31	6652800	3.23	11.59	294.69	275395		284.68	15.15	43.69	3.46	1.1288	9.95	-3.0443	-17.3678
1110 東泥	2008	12	31	5262400	0.09	13.58	-97.13	191917		278.81	14.34	2.44	0	1.1557	8.23	-17.3678	23.3685
1110 東泥	2009	12	31	6492200	1.11	12.45	1074.04	-109190	1.601790665	315.42	13.58	50.94	1.76	1.1523	10.15	23.3685	20.6004
1110 東泥	2010	12	31	7693400	0.61	8.09	-44.16	181909	0.510032679	286.05	13.21	59.04	0.74	0.9993	12.24	20.6004	-24.3019
1110 東泥	2011	12	30	5777200	0.29	8.06	-53.62	-74076	0.413279566	274.77	12.67	18.23	0.99	0.8741	9.27	-24.3019	38.758
1110 東泥	2012	12	28	8065200	0.83	9.5	191.95	165797	0.271538825	302.8	9.61	59.5	0.71	0.9342	13.05	38.758	24.9301
1110 東泥	2013	12	31	10010000	1.72	12.73	114.17	-250370	0.722103409	466.32	8.25	66.84	1.14	0.7387	16.3	24.9301	-1.6475
1110 東泥	2014	12	31	9724000	1.62	10.22	-3.1	-85036	0.48754487	607.3	7.74	79.48	1.18	0.4716	16.04	-1.6475	-5.7403
1110 東泥	2015	12	31	9037600	1.65	7.49	1.52	65668	0.051316014	505.38	7.92	268.58	1.27	0.1193	15.12	-5.7403	2.5986
1110 東泥	2016	12	30	9152000	2.4	0.69	43.7	45298	0.441927596	793.17	6.16	811.96	0.63	0.4705	15.51	2.5986	-6.0341
1110 東泥	2017	12	29	8437000	0.68	-2.52	-71.91	153911	0.862341773	459.41	8.39	259.13	0.68	0.155	14.4	-6.0341	18.1357
1110 東泥	2018	12	28	9695400	0.77	8.62	12.49	113706	0.968108121	491.82	7.95	67.77	0.59	0.1067	16.66	18.1357	3.5633
1110 東泥	2019	12	31	9981400	0.39	5.19	-49.32	337629	0.19857828	306.23	12.01	9.73	0.57	0.0853	17.26	3.5633	3.2142
1110 東泥	2020	12	31	10238800	0.2	4.23	-49.01	186972	0.290229794	271.27	13.35	2.21	0.56	0.2699	17.81	3.2142	
1201 味全	2007	12	31	9336844	9.88	32.92	1.5	311266		101.15	66.25	4.71	0	1.1363	15.25	-20.3027	19.2412
1201 味全	2008	12	31	11133364	10.71	32.33	18.64	-312034		118.75	63.13	6.14	0	0.9938	18.18	19.2412	98.1808
1201 味全	2009	12	31	22064303	12.38	35.83	27.87	585444	1.273302792	113.41	62.79	12.67	1.38	1.0068	36.04	98.1808	-10.9643
1201 味全	2010	12	31	19331568	23.04	35.53	154.85	-9996839	6.688963547	289.52	66.81	22.73	1.57	1.2871	32.09	-10.9643	-14.0076
1201 味全	2011	12	30	16320500	5.86	34.99	-66.73	-834392	8.672738898	252.44	67.65	4.79	1.86	0.9949	27.6	-14.0076	15.1919
1201 味全	2012	12	28	18294141	6.16	31.82	14.62	5847093	9.833419209	126.2	70.05	7.03	1.66	0.7785	31.55	15.1919	46.4483
1201 味全	2013	12	31	26517649	6.37	31.59	11.07	-970369	0.256320112	126.72	69.68	5.59	1.15	0.9689	46.2	46.4483	-51.6885
1201 味全	2014	12	31	12651550	-1.27	28.94	-154.76	3937532	4.351601238	97.37	71.71	1.02	0	0.4867	22.32	-51.6885	-29.9998
1201 味全	2015	12	31	8856085	-21.2	27.45	-469.03	-2843792	14.23422753	100.45	76.78	-4.18	0	0.8354	15.62	-29.9998	-0.0002
1201 味全	2016	12	30	8856085	-13.94	26.86	50.57	2329076	10.08663637	85.77	79.07	-0.98	0	0.3878	15.62	-0.0002	21.9021
1201 味全	2017	12	29	10703211	11.99	31.29	182.4	-3038073	17.44825015	103.45	76.24	3.08	0	0.2369	18.88	21.9021	4.9536
1201 味全	2018	12	28	11259880	12.41	31.07	-2.72	3899888	15.09339701	76.59	70.81	3.71	3.6	0.6954	19.86	4.9536	15.5817
1201 味全	2019	12	31	12676853	20.55	30.27	55.44	-714156	4.825446439	89.66	63.64	10	5.32	0.5352	22.96	15.5817	-5.31
1201 味全	2020	12	31	11285183	7.77	29.19	-60.31	506791	6.469384309	96.23	61.98	4.61	2.38	0.8086	21.74	-5.31	
1203 味王	2007	12	31	4237373	0.17	18.24	104.65	92194		123	53.16	1.54	0	1.0431	11.49	30.645	-40.7405
1203 味王	2008	12	31	2511036	15.77	23.27	9512.35	460914		134.03	47.68	9.71	4.17	0.8376	6.81	-40.7405	129.5878
1203 味王	2009	12	31	5657687	13.09	27.32	-7.26	-185733	8.34135081	250.49	35.53	33.43	2.24	0.8192	15.64	129.5878	6.2143
1203 味王	2010	12	31	5880000	4.56	20.73	-62.72	42936	5.853879056	256.54	35.74	13.35	2.04	0.8685	16.61	6.2143	-18.3945
1203 味王	2011	12	30	4692000	0.23	16.31	-95.12	602121	6.54330956	157.54	41.44	3.39	2.56	0.586	13.56	-18.3945	4.914
1203 味王	2012	12	28	4824000	3.45	19.9	1334.71	196937	2.249051652	180.37	40.92	8.84	1.49	0.5235	14.26	4.914	25.5707
1203 味王	2013	12	31	5976000	7.65	21.81	125.06	197105	3.72077053	218.22	37.34	18.66	4.02	0.4883	17.91	25.5707	-0.4841
1203 味王	2014	12	31	5712000	7.19	22.67	-0.58	113567	2.303591399	225.4	38.03	21.05	4.2	0.4451	17.82	-0.4841	1.1787
1203 味王	2015	12	31	5496000	8.91	24.59	27.31	235022	0.890468042	238.75	38.13	41.32	4.37	0.3446	18.04	1.1787	5.1517
1203 味王	2016	12	30	5520000	12.06	27.29	37.09	610571	2.469743576	229.91	38.58	75.82	4.35	0.1401	18.97	5.1517	14.1019
1203 味王	2017	12	29	6048000	13.71	32.61	18.43	461642	2.43874968	222.81	38.98	79.16	5.16	0.1728	21.64	14.1019	9.0946
1203 味王	2018	12	28	6240000	12.26	32.4	-5.64	526100	0.900462844	253.22	34.85	94.11	3.85	0.2722	23.47	9.0946	7.9856
1203 味王	2019	12	31	6492000	11.86	31.31	1.87	599523	0.973396117	249.82	34.05	67.3	3.7	0.1139	25.35	7.9856	39.5794
1203 味王	2020	12	31	8784000	11.08	33.82	-3.28	683360	0.600111101	272.6	32.35	66.75	3.01	0.2295	35.4	39.5794	
1207 嘉食化	2007	12	31												3.83		
1210 大成	2007	12	31	15188256	16.39	9.99	50	-2786460		163.21	50.53	8.6	4.17	1.3226	10.58	93.8396	-23.5587
1210 大成	2008	12	31	11306686	9.66	8.05	-23.6	878561		156.24	45.03	6.33	4.76	0.9293	8.11	-23.5587	51.6925
1210 大成	2009	12	31	16583142	11.15	9.84	24.68	1083737	3.534840873	155.5	43.81	18.04	3.41	0.9848	12.31	51.6925	-2.3137
1210 大成	2010	12	31	15631477	10.58	8.89	-0.59	1450648	0.751820014	140.96	47.55	15.72	3.8	0.9996	12.02	-2.3137	-4.0422
1210 大成	2011	12	30	14640497	11.31	8.91	14.98	717257	0.38370996	134.84	49.6	13.82	4.3	0.876	11.51	-4.0422	5.0931
1210 大成	2012	12	28	15067756	6.74	8.05	-36.33	-512048	2.45504243	136.1	51.55	7.73	4.51	0.5994	11.99	5.0931	3.9744
1210 大成	2013	12	31	14954465	12.64	8.46	99.77	516684	3.094721312	141.61	51.15	13.78	3.79	0.4754	12.48	3.9744	39.2076
1210 大成	2014	12	31	20287655	5.16	8.72	-55.71	61825	3.942435795	136.03	51.82	7.42	3.63	0.648	17.4	39.2076	-20.4704
1210 大成	2015	12	31	15243356	2.48	10.74	-51.36	2007178	5.265586387	123.09	51.91	5.41	3.38	0.5914	13.84	-20.4704	44.1715
1210 大成	2016	12	30	21429065	12.99	13.1	426.78	2408651	5.461248331	123.35	46.7	10.65	5.15	0.5841	19.96	44.1715	23.0499
1210 大成	2017	12	29	24706019	12.66	13.48	3.57	-331311	5.974967224	131.49	46.69	13.05	5.96	0.8256	24.12	23.0499	13.9362
1210 大成	2018	12	28	26396024	10.98	13.93	-9.01	2010839	1.077914653	125.42	47.74	10.83	4.48	0.6832	27.08	13.9362	42.1026
1210 大成	2019	12	31	36113347	12.78	15.08	23.22	2943335	1.00637965	105.52	48.57	10.45	5.04	-0.0452	38.52	42.1026	21.8928
1210 大成	2020	12	31	42028821	15.6	15.02	36.93	1288265	2.328690619	111.21	46.05	18.82	5.31	0.6951	46.94	21.8928	
1213 大飲	2007	12	31	543061	0.96	15.35	681.68	78513		223.39	25.08	5.3	0	0.6739	9.59	-17.2548	-32.9855
1213 大飲	2008	12	31	363928	0.99	14.29	4.18	53905		223.52	22.91	5.19	0	0.6937	6.43	-32.9855	39.3206
1213 大飲	2009	12	31	507029	2.02	14.47	106.05	7416	0.603517467	243.44	19.06	32.55	0	0.4852	8.95	39.3206	169.0363
1213 大飲	2010	12	31	1364088	-2.44	12.12	-220.84	-5783	2.335144535	249.14	19.52	-26.62	0	0.7584	24.09	169.0363	-30.5659
1213 大飲	2011	12	30	947140	0.38	11.38	116.11	17443	2.255866426	243.6	21.9	9.13	0	0.8553	16.72	-30.5659	12.0875
1213 大飲	2012	12	28	1050090	1.82	12.3	391.82	-15401	2.166933317	284.66	20.17	67.72	0	0.9923	18.54	12.0875	3.9217
1213 大飲	2013	12	31	1091270	2.56	14.67	43.91	19088	1.108572656	298.64	19.35	175.22	0	0.5576	19.27	3.9217	0.236
1213 大飲	2014	12	31	1093844	1.75	14.05	-29.97	-14922	0.44881325	359.87	17.78	155.45	0	0.2983	19.31	0.236	-28.706
1213 大飲	2015	12	31	779846	2.46	14.59	43.46	-16412	0.441625784	348	19.52	1789.17	0	0.5798	13.77	-28.706	21.9802
1213 大飲	2016	12	30	951250	2.21	12.43	-8.15	4442	0.360138862	321.38	18.47	106.71	0	0.3154	16.8	21.9802	-7.1436
1213 大飲	2017	12	29	883303	0.29	10.54	-86.91	-4466	1.187279804	305.94	19.52	11.38	0	0.2704	15.6	-7.1436	-35.7833
1213 大飲	2018	12	28	569051	-13.76	9.07	-4612.8	238423	8.719038556	89.81	55.73	-13.57	0	0.4448	10.05	-35.7833	-37.7112
1213 大飲	2019	12	31	354454	-7.37	6.2	51.89	-245107	7.034559925	188.55	55.5	-3.24	0	0.4706	6.26	-37.7112	23.4825
1213 大飲	2020	12	31	437688	-4.96	1.35	36.76	342144	4.547530465	48.51	57.29	-1.06	0	0.1899	7.73	23.4825	
1215 卜蜂	2007	12	31	3433985	11.1	10.2	79.98	132033		186.61	39.41	11.04	6.76	1.1133	6.71	70.6099	-18.0577
1215 卜蜂	2008	12	31	2656698	8.34	8.37	-24.43	164374		171.76	43.88	8.53	6.11	0.9412	5.49	-18.0577	41.5871
1215 卜蜂	2009	12	31	3608004	9.96	8.95	30.24	132877	1.386939076	174.05	40.91	25.31	6.43	0.7527	7.77	41.5871	35.3726
1215 卜蜂	2010	12	31	4617317	9.83	8.52	23.58	231996	0.90012962	151.15	43.11	22.44	5.03	0.9469	10.51	35.3726	-24.6228
1215 卜蜂	2011	12	30	3294769	3.22	6.68	-61.48	209037	3.854361166	120.28	48.54	7.33	2.11	0.8254	7.91	-24.6228	9.6879
1215 卜蜂	2012	12	28	3538397	6.87	7.76	126.9	-174366	3.310996829	117.29	52.51	12.63	5.25	0.8039	8.69	9.6879	8.9887
1215 卜蜂	2013	12	31	3666011	9.39	9.3	40.84	223039	3.102198145	124.39	46.68	14.11	5.06	0.459	9.47	8.9887	72.6711
1215 卜蜂	2014	12	31	6151607	15.8	11.91	78.92	291420	4.604045323	135.15	42.86	29.86	3.96	0.743	16.36	72.6711	4.6411
1215 卜蜂	2015	12	31	6163770	13.68	12.25	-10.78	552186	3.265644398	117.59	46.24	31.02	8.7	0.6598	17.08	4.6411	105.1831
1215 卜蜂	2016	12	30	12019352	21.87	15.52	78.81	631126	4.250792083	114.05	40.93	54.53	6.69	0.6163	35	105.1831	50.0473
1215 卜蜂	2017	12	29	17204958	21.78	16.75	14.58	-117584	4.702733248	100.5	49.9	46.82	4.67	0.9046	52.2	50.0473	-10.8004
1215 卜蜂	2018	12	28	14257068	14	13.46	-32.65	408496	4.517989966	91.43	54.04	21.66	5.64	0.6727	45.56	-10.8004	30.0161
1215 卜蜂	2019	12	31	17740938	22.95	14.27	83.24	-397306	4.864836414	106.14	53.74	28.56	6.04	0.1542	59.26	30.0161	15.866
1215 卜蜂	2020	12	31	19402476	18.92	15.88	-10.06	105585	4.482369165	97.41	55.32	27.69	6.22	0.6239	68.61	15.866	
1216 統一	2007	12	31	156080875	17.4	27.28	141.2	-13234987		103.67	62.79	4.76	4.56	1.3783	17.34	45.9866	-27.2646
1216 統一	2008	12	31	107887804	5.98	27.38	-61.67	74563		106.92	64.88	3.06	1.52	0.8618	12.63	-27.2646	44.3983
1216 統一	2009	12	31	153752430	12.27	30.92	111.02	8969772	5.719810603	112.1	61.75	8.36	2.03	0.8742	18.24	44.3983	23.1014
1216 統一	2010	12	31	185418805	15.59	29.47	39.15	18760163	4.880891312	106.43	60.37	14.31	3.24	0.8472	22.46	23.1014	11.9701
1216 統一	2011	12	30	201088284	12.72	28.43	-12.94	-998439	1.801008976	105.22	62.91	10.86	2.26	0.8715	25.18	11.9701	31.9868
1216 統一	2012	12	28	259169864	12.75	30.96	5.66	3216811	1.648403268	103.42	63.23	10.67	2.63	0.6376	33.06	31.9868	9.283
1216 統一	2013	12	31	276781721	15.75	30.93	33.22	5857723	1.740775689	99.65	62.71	13.14	2.79	0.9005	36.14	9.283	1.8297
1216 統一	2014	12	31	274266495	12.62	30.6	-12.2	13003444	1.77077196	95.89	62.23	10.44	2.79	1.1303	36.82	1.8297	16.6209
1216 統一	2015	12	31	311942624	14.1	33.14	18.58	27336182	1.565769247	92.06	60.97	12.26	3.64	0.7598	42.94	16.6209	0.331
1216 統一	2016	12	30	303419601	15.35	33.3	9.64	16723017	1.36661382	99.16	59.67	14.63	3.93	0.7473	43.07	0.331	29.5647
1216 統一	2017	12	29	375012990	34.86	33.2	153.28	27018020	11.6417367	124.75	53.87	47.59	8.33	0.5603	55.2	29.5647	13.2857
